"","lon","lat","anom"
"499",332.5,-57.5,-0.0965210348367691
"500",337.5,-57.5,-0.119200065732002
"501",342.5,-57.5,-0.0960118025541306
"502",347.5,-57.5,-0.0408856384456158
"503",352.5,-57.5,-0.025165194645524
"504",357.5,-57.5,-0.0848020315170288
"505",2.5,-52.5,0.162335649132729
"506",7.5,-52.5,0.158801332116127
"507",12.5,-52.5,0.20258466899395
"508",17.5,-52.5,0.203091472387314
"509",22.5,-52.5,0.188084274530411
"510",27.5,-52.5,0.16149939596653
"511",32.5,-52.5,0.0838496908545494
"512",37.5,-52.5,0.00280740321613848
"513",42.5,-52.5,-0.0296509992331266
"514",47.5,-52.5,-0.0593333356082439
"515",52.5,-52.5,-0.102159321308136
"516",57.5,-52.5,-0.160253524780273
"517",62.5,-52.5,-0.183834001421928
"518",67.5,-52.5,-0.19257515668869
"519",72.5,-52.5,-0.108508966863155
"520",77.5,-52.5,0.0825963020324707
"521",82.5,-52.5,0.13287465274334
"522",87.5,-52.5,0.191144824028015
"523",92.5,-52.5,0.45415461063385
"524",97.5,-52.5,0.622475206851959
"525",102.5,-52.5,0.726758241653442
"526",107.5,-52.5,0.760604619979858
"527",112.5,-52.5,0.748356699943542
"528",117.5,-52.5,0.727091372013092
"529",122.5,-52.5,0.596909940242767
"530",127.5,-52.5,0.44948348402977
"531",132.5,-52.5,0.19234736263752
"532",137.5,-52.5,0.0222011785954237
"533",142.5,-52.5,-0.0142192905768752
"534",147.5,-52.5,-0.0264699067920446
"535",152.5,-52.5,-0.0970130860805511
"536",157.5,-52.5,0.163072749972343
"537",162.5,-52.5,0.175002485513687
"538",167.5,-52.5,0.322298526763916
"539",172.5,-52.5,0.437350988388062
"540",177.5,-52.5,0.643617033958435
"541",182.5,-52.5,0.784925580024719
"542",187.5,-52.5,0.924253821372986
"543",192.5,-52.5,1.06260621547699
"544",197.5,-52.5,1.15313100814819
"545",202.5,-52.5,1.16347742080688
"546",207.5,-52.5,1.02827429771423
"547",212.5,-52.5,0.868683755397797
"548",217.5,-52.5,0.616845846176147
"549",222.5,-52.5,0.346577525138855
"550",227.5,-52.5,0.136392071843147
"551",232.5,-52.5,-0.0683822780847549
"552",237.5,-52.5,-0.141117841005325
"553",242.5,-52.5,-0.0746745020151138
"554",247.5,-52.5,-0.0933190807700157
"555",252.5,-52.5,-0.0366232544183731
"556",257.5,-52.5,0.170271009206772
"557",262.5,-52.5,0.312387526035309
"558",267.5,-52.5,0.440833747386932
"559",272.5,-52.5,0.518897294998169
"560",277.5,-52.5,0.565081417560577
"561",282.5,-52.5,0.586475074291229
"562",287.5,-52.5,0.527361154556274
"563",292.5,-52.5,0.489752948284149
"564",297.5,-52.5,0.402674496173859
"565",302.5,-52.5,0.363159418106079
"566",307.5,-52.5,0.295342713594437
"567",312.5,-52.5,0.418775409460068
"568",317.5,-52.5,0.570241987705231
"569",322.5,-52.5,0.429793268442154
"570",327.5,-52.5,0.357778668403625
"571",332.5,-52.5,0.389044553041458
"572",337.5,-52.5,0.350517362356186
"573",342.5,-52.5,0.305078446865082
"574",347.5,-52.5,0.304122239351273
"575",352.5,-52.5,0.261722087860107
"576",357.5,-52.5,0.200810670852661
"577",2.5,-47.5,0.355503141880035
"578",7.5,-47.5,0.394124031066895
"579",12.5,-47.5,0.409822732210159
"580",17.5,-47.5,0.379572033882141
"581",22.5,-47.5,0.344176143407822
"582",27.5,-47.5,0.332537740468979
"583",32.5,-47.5,0.267291516065598
"584",37.5,-47.5,0.20735789835453
"585",42.5,-47.5,-0.0445042587816715
"586",47.5,-47.5,-0.157134741544724
"587",52.5,-47.5,-0.146124929189682
"588",57.5,-47.5,-0.467097043991089
"589",62.5,-47.5,-0.57280021905899
"590",67.5,-47.5,-0.631420254707336
"591",72.5,-47.5,-0.449369668960571
"592",77.5,-47.5,-0.300382763147354
"593",82.5,-47.5,-0.205267950892448
"594",87.5,-47.5,0.00024241569917649
"595",92.5,-47.5,0.326073944568634
"596",97.5,-47.5,0.607366502285004
"597",102.5,-47.5,0.698637723922729
"598",107.5,-47.5,0.666437447071075
"599",112.5,-47.5,0.624774158000946
"600",117.5,-47.5,0.592632532119751
"601",122.5,-47.5,0.38364252448082
"602",127.5,-47.5,0.256793975830078
"603",132.5,-47.5,0.132262513041496
"604",137.5,-47.5,-0.0598816759884357
"605",142.5,-47.5,-0.237554654479027
"606",147.5,-47.5,-0.411496251821518
"607",152.5,-47.5,-0.370649248361588
"608",157.5,-47.5,-0.177747383713722
"609",162.5,-47.5,-0.130594149231911
"610",167.5,-47.5,-0.00158754736185074
"611",172.5,-47.5,0.246941223740578
"612",177.5,-47.5,0.41088393330574
"613",182.5,-47.5,0.58703088760376
"614",187.5,-47.5,0.96667343378067
"615",192.5,-47.5,1.33532476425171
"616",197.5,-47.5,1.6040130853653
"617",202.5,-47.5,1.67616152763367
"618",207.5,-47.5,1.55114614963531
"619",212.5,-47.5,1.36309802532196
"620",217.5,-47.5,1.08714056015015
"621",222.5,-47.5,0.780352771282196
"622",227.5,-47.5,0.449865013360977
"623",232.5,-47.5,0.114780642092228
"624",237.5,-47.5,-0.0767877921462059
"625",242.5,-47.5,-0.204218685626984
"626",247.5,-47.5,-0.280497491359711
"627",252.5,-47.5,-0.179369613528252
"628",257.5,-47.5,0.0987270101904869
"629",262.5,-47.5,0.344625383615494
"630",267.5,-47.5,0.496594309806824
"631",272.5,-47.5,0.574291110038757
"632",277.5,-47.5,0.554970443248749
"633",282.5,-47.5,0.486910104751587
"634",287.5,-47.5,0.556748986244202
"635",292.5,-47.5,0.353659391403198
"636",297.5,-47.5,0.0725503116846085
"637",302.5,-47.5,-0.173229143023491
"638",307.5,-47.5,-0.427274852991104
"639",312.5,-47.5,-0.136597663164139
"640",317.5,-47.5,0.339118272066116
"641",322.5,-47.5,0.359640896320343
"642",327.5,-47.5,0.403633892536163
"643",332.5,-47.5,0.595423579216003
"644",337.5,-47.5,0.65484744310379
"645",342.5,-47.5,0.584629058837891
"646",347.5,-47.5,0.448619365692139
"647",352.5,-47.5,0.358184218406677
"648",357.5,-47.5,0.325872033834457
"649",2.5,-42.5,0.0853288397192955
"650",7.5,-42.5,0.155463889241219
"651",12.5,-42.5,0.211597517132759
"652",17.5,-42.5,0.154737383127213
"653",22.5,-42.5,0.15569281578064
"654",27.5,-42.5,0.242152914404869
"655",32.5,-42.5,0.320076882839203
"656",37.5,-42.5,0.0603833273053169
"657",42.5,-42.5,-0.0360179804265499
"658",47.5,-42.5,-0.177169263362885
"659",52.5,-42.5,-0.315625727176666
"660",57.5,-42.5,-0.69406133890152
"661",62.5,-42.5,-0.892433881759644
"662",67.5,-42.5,-1.08003830909729
"663",72.5,-42.5,-0.968589544296265
"664",77.5,-42.5,-0.75136524438858
"665",82.5,-42.5,-0.681200623512268
"666",87.5,-42.5,-0.475218683481216
"667",92.5,-42.5,-0.130278408527374
"668",97.5,-42.5,0.200632140040398
"669",102.5,-42.5,0.318254828453064
"670",107.5,-42.5,0.239719420671463
"671",112.5,-42.5,0.104442805051804
"672",117.5,-42.5,0.106404528021812
"673",122.5,-42.5,0.16237510740757
"674",127.5,-42.5,0.180907040834427
"675",132.5,-42.5,0.119496054947376
"676",137.5,-42.5,0.00935417227447033
"677",142.5,-42.5,-0.0145742893218994
"678",147.5,-42.5,0.0904239118099213
"679",152.5,-42.5,-0.0614532008767128
"680",157.5,-42.5,-0.0103006595745683
"681",162.5,-42.5,-0.0886829793453217
"682",167.5,-42.5,-0.181467056274414
"683",172.5,-42.5,-0.000843986868858337
"684",177.5,-42.5,-0.0141551122069359
"685",182.5,-42.5,0.37082639336586
"686",187.5,-42.5,0.955738127231598
"687",192.5,-42.5,1.52956116199493
"688",197.5,-42.5,1.92944943904877
"689",202.5,-42.5,2.06383776664734
"690",207.5,-42.5,1.97047281265259
"691",212.5,-42.5,1.81497061252594
"692",217.5,-42.5,1.54263281822205
"693",222.5,-42.5,1.23245286941528
"694",227.5,-42.5,0.77768349647522
"695",232.5,-42.5,0.310414910316467
"696",237.5,-42.5,-0.0973796024918556
"697",242.5,-42.5,-0.420117765665054
"698",247.5,-42.5,-0.453464359045029
"699",252.5,-42.5,-0.211004823446274
"700",257.5,-42.5,0.156365603208542
"701",262.5,-42.5,0.42748835682869
"702",267.5,-42.5,0.56856495141983
"703",272.5,-42.5,0.626320064067841
"704",277.5,-42.5,0.493222653865814
"705",282.5,-42.5,0.35713317990303
"706",287.5,-42.5,0.441668629646301
"707",292.5,-42.5,1.24740695953369
"708",297.5,-42.5,-0.0445645675063133
"709",302.5,-42.5,-0.20791532099247
"710",307.5,-42.5,-0.555699288845062
"711",312.5,-42.5,-0.30312842130661
"712",317.5,-42.5,0.148979112505913
"713",322.5,-42.5,0.311775058507919
"714",327.5,-42.5,0.333340555429459
"715",332.5,-42.5,0.431899607181549
"716",337.5,-42.5,0.513235986232758
"717",342.5,-42.5,0.472047924995422
"718",347.5,-42.5,0.257046908140182
"719",352.5,-42.5,0.232276499271393
"720",357.5,-42.5,0.113054670393467
"721",2.5,-37.5,-0.285427182912827
"722",7.5,-37.5,-0.0927735641598701
"723",12.5,-37.5,0.0366961695253849
"724",17.5,-37.5,-0.0350954383611679
"725",22.5,-37.5,0.0790893062949181
"726",27.5,-37.5,0.223393842577934
"727",32.5,-37.5,0.162238657474518
"728",37.5,-37.5,-0.1128835901618
"729",42.5,-37.5,-0.101737394928932
"730",47.5,-37.5,-0.233210161328316
"731",52.5,-37.5,-0.480866879224777
"732",57.5,-37.5,-0.867197811603546
